 ,"CODIGO","CASES SIN FUENTE P/GAMERS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
cases sin fuente p/gamers,"csa00bkte1323g","case sin fuente gamer teros te-1323g, midtower, atx / micro-atx / itx, usb-a, audio[@",>20,28.00, ,"","D","teros"		
cases sin fuente p/gamers,"csa00bkte1330g","case sin fuente gamer teros te-1330g, mid tower, e-atx/atx/micro-atx/it, usb-a, audio",>20,28.00, ,"","D","teros"		
cases sin fuente p/gamers,"csa00bkte1332g","case sin fuente gamer teros te-1332g, mid tower, itx/micro-atx/atx, usb-a, audio[@@@]",>20,28.00, ,"","D","teros"		
cases sin fuente p/gamers,"csa00bkte1333g","case sin fuente gamer teros te-1333g, mid tower, atx/micro-atx/itx, usb-a, audio[@@@]",>20,28.00, ,"","D","teros"		
cases sin fuente p/gamers,"csasa31pwtargb","case asus a31 plus case white[@@@]motherboard - factor de forma soportados: mini-itx,",>20,72.21, ,"","F","asus"		
cases sin fuente p/gamers,"csasap202argbng","case asus prime ap202 argb black[@@@]motherboard - factor de forma soportados: micro-",>20,92.35, ,"","F","asus"		
cases sin fuente p/gamers,"csasgt302argbw","case asus tuf gaming gt302 argb[@@@]motherboard -factor de forma soportados: eatx (12",>20,100.95, ,"","F","asus"		
cases sin fuente p/gamers,"csaspa401wobe","case asus proart pa401 wood edition beige - tempered glass panel[@@@]motherboard - fa",19,106.85, ,"","F","asus"		
cases sin fuente p/gamers,"csasrsheliosii","case asus rog strix helios ii[@@@]motherboard - factor de forma soportados: mini-itx,",8,268.03, ,"","F","asus"		
cases sin fuente p/gamers,"csasrsheliosiiw","case asus rog strix helios white edition[@@@]motherboard - factor de forma soportados",7,279.30, ,"","F","asus"		
